,"Labour force/Seasonally adjusted (x 1,000)","Employed labour force/Seasonally adjusted (x 1,000)","Unemployed labour force/Seasonally adjusted (x 1,000)",PeriodQ,"Vacancies seasonally adjusted, unfilled (x 1000)","Vacancies seasonally adjusted, new (x 1000)","Vacancies seasonally adjusted, filled (x 1000)",Average_monthly_wage_index
0,8441,7985,456,2003Q1,117.9,170.3,182.2,74.2
1,8452,7959,493,2003Q2,112.1,153.1,159.0,74.2
2,8464,7951,513,2003Q3,94.0,152.0,170.0,74.2
3,8466,7927,538,2003Q4,102.4,169.5,161.1,74.2
4,8479,7919,559,2004Q1,115.8,172.7,159.4,75.1
5,8509,7919,590,2004Q2,122.9,180.2,173.1,75.1
6,8501,7929,572,2004Q3,120.9,177.6,179.6,75.1
7,8519,7933,586,2004Q4,128.4,192.1,184.6,75.1
8,8542,7936,606,2005Q1,148.8,211.4,191.0,75.7
9,8583,7975,608,2005Q2,141.3,191.7,199.3,75.7
10,8583,7989,594,2005Q3,163.7,236.7,214.3,75.7
11,8612,8025,587,2005Q4,165.3,226.7,225.2,75.7
12,8608,8052,556,2006Q1,187.3,245.6,223.6,77.3
13,8601,8076,526,2006Q2,209.7,263.3,240.8,77.3
14,8623,8113,509,2006Q3,230.1,273.5,253.1,77.3
15,8684,8177,508,2006Q4,230.3,270.6,270.4,77.3
16,8738,8246,491,2007Q1,234.9,285.5,280.9,78.9
17,8782,8318,464,2007Q2,238.3,284.6,281.2,78.9
18,8825,8364,461,2007Q3,246.8,281.8,273.3,78.9
19,8848,8401,447,2007Q4,249.3,272.1,269.5,78.9
20,8895,8468,427,2008Q1,247.0,269.3,271.6,81.6
21,8950,8519,431,2008Q2,244.9,273.0,275.1,81.6
22,8962,8539,423,2008Q3,246.7,279.3,277.5,81.6
23,8994,8570,424,2008Q4,197.4,214.1,263.4,81.6
24,9041,8599,442,2009Q1,153.9,184.0,227.6,83.8
25,9030,8556,474,2009Q2,128.4,172.2,197.6,83.8
26,9010,8504,506,2009Q3,130.7,186.7,184.4,83.8
27,8992,8460,532,2009Q4,125.4,179.0,184.4,83.8
28,8980,8423,557,2010Q1,115.6,173.6,183.3,84.8
29,8985,8435,550,2010Q2,117.5,179.9,178.1,84.8
30,8990,8441,549,2010Q3,125.3,196.0,188.2,84.8
31,8995,8461,534,2010Q4,128.3,190.8,187.8,84.8
32,8960,8438,522,2011Q1,135.1,199.7,192.8,85.7
33,8938,8422,516,2011Q2,134.7,195.9,196.4,85.7
34,8978,8433,544,2011Q3,134.1,195.9,196.5,85.7
35,9067,8479,587,2011Q4,122.7,176.8,188.2,85.7
36,9077,8486,591,2012Q1,117.4,169.7,175.0,87.0
37,9100,8488,612,2012Q2,109.3,166.5,174.6,87.0
38,9131,8506,626,2012Q3,106.6,163.0,165.8,87.0
39,9160,8502,658,2012Q4,101.7,159.0,163.8,87.0
40,9172,8464,709,2013Q1,96.3,151.9,157.3,87.9
41,9183,8434,749,2013Q2,91.3,150.3,155.3,87.9
42,9198,8415,782,2013Q3,95.1,157.5,153.6,87.9
43,9199,8422,778,2013Q4,96.5,158.1,156.7,87.9
44,9153,8359,793,2014Q1,104.1,172.5,164.9,88.8
45,9127,8354,773,2014Q2,107.5,172.7,169.3,88.8
46,9126,8387,739,2014Q3,113.4,180.2,174.3,88.8
47,9170,8425,744,2014Q4,118.8,185.8,180.4,88.8
48,9185,8435,751,2015Q1,124.9,195.1,189.0,90.0
49,9186,8453,733,2015Q2,130.3,204.7,199.3,90.0
50,9179,8470,709,2015Q3,132.9,205.4,202.8,90.0
51,9179,8472,707,2015Q4,142.7,219.2,209.4,90.0
52,9178,8495,683,2016Q1,149.5,220.4,213.6,91.8
53,9214,8547,668,2016Q2,154.8,224.4,219.1,91.8
54,9229,8598,631,2016Q3,162.0,231.7,224.5,91.8
55,9240,8638,602,2016Q4,171.2,239.4,230.2,91.8
56,9261,8680,580,2017Q1,185.7,250.9,236.4,93.0
57,9276,8715,561,2017Q2,204.7,263.6,244.6,93.0
58,9309,8773,536,2017Q3,213.7,266.3,257.3,93.0
59,9317,8811,506,2017Q4,226.5,273.6,260.7,93.0
60,9334,8859,475,2018Q1,236.3,283.3,273.5,94.9
61,9372,8910,462,2018Q2,250.8,296.8,282.3,94.9
62,9425,8968,457,2018Q3,260.8,303.5,293.5,94.9
63,9459,9021,438,2018Q4,264.0,300.2,297.0,94.9
64,9493,9069,424,2019Q1,280.9,316.3,299.4,97.3
65,9517,9102,414,2019Q2,282.3,307.0,305.6,97.3
66,9555,9126,429,2019Q3,284.4,313.5,311.4,97.3
67,9596,9171,425,2019Q4,285.7,316.4,315.1,97.3
68,9601,9214,387,2020Q1,217.6,261.2,329.3,100.0
69,9508,9048,460,2020Q2,198.2,226.2,245.6,100.0
70,9598,9070,528,2020Q3,216.8,266.0,247.3,100.0
71,9621,9131,490,2020Q4,218.7,264.4,262.5,100.0
72,9617,9172,445,2021Q1,248.7,292.4,262.4,102.0
73,9618,9202,416,2021Q2,324.3,372.2,296.6,102.0
74,9683,9284,399,2021Q3,370.0,377.2,331.5,102.0
75,9735,9365,370,2021Q4,391.8,375.1,353.3,102.0
76,9787,9448,338,2022Q1,452.8,420.6,359.6,105.3
77,9868,9541,327,2022Q2,463.7,388.8,377.9,105.3
78,9923,9551,372,2022Q3,445.3,372.7,391.1,105.3
79,10061,9703,357,2023Q1,432.2,371.4,376.3,111.6
80,10077,9727,350,2023Q2,422.2,354.5,364.5,111.6
81,10100,9734,366,2023Q3,415.3,351.7,358.6,111.6
82,10174,9801,373,2024Q1,410.0,359.6,360.0,119.0
83,10187,9816,370,2024Q2,402.2,347.9,355.7,119.0
84,10155,9782,374,2024Q3,398.0,348.0,352.2,119.0
85,10165,9791,374,2024Q4,401.8,367.0,363.2,119.0
